readId	equalMatches
129:851|64a893be-e64d-4f45-9756-d97b583ff035	1
131:648|f8e1492d-70c4-485b-a4f2-4a4f23575804	1
132:712|9bd8450b-d198-4f39-ac91-0e019ce777b3	1
135:692|ad1b5800-1c98-4793-98b8-d3b7681164d3	1
133:661|caaa3bee-4236-48cb-bdfb-99a405f529df	1
128:658|f63209c6-83a3-453f-b069-3bab6f034027	1
129:797|1b93fe07-a476-4f49-8d89-d0e24dd1a407	2
137:668|81964979-e76b-40f4-9299-552f0b07d496	1
128:839|82ff47a7-085c-4cec-b53b-b591946abf33	2
139:853|b2f1580b-de74-4731-9ce8-c646c8664a05	1
140:652|397dea86-a238-4d8f-ab91-431f9f2a1626	1
136:866|879eab5f-761f-4c67-a82e-1a344220fb99	2
129:641|f8587289-ac7d-4a18-bbaa-b38b2044f2c2	1
137:783|37604acf-23f5-4a43-96f2-c576befcb9bc	1
139:738|c5927d9a-69ae-4c09-8dc0-849797df5718	2
126:869|75bbc984-1964-45ea-8f22-f7a18e3df17a	2
122:638|edf57ada-bdbd-41c1-92f5-fc1961574b4d	1
130:731|9f78d0d5-27a7-4909-a732-b21259c8c2a7	2
115:645|8ba136e8-7758-4421-a247-39e467104210	1
150:674|160924d0-0cad-471e-b927-94e00e12db35	1
112:635|d3b3c40e-d4a6-4000-9e4a-b26ea7cb6c37	1
136:650|6fdf1f6f-750f-4de3-ae0d-a9a8bd81dcfd	1
135:648|9612bcf0-f623-4c56-9658-b7adfef2e276	1
133:761|bd88d19a-3347-4775-83cc-2457560957e8	2
126:761|e9b9cb39-e77c-4042-a08a-6060d4a79db4	2
128:644|8a381424-e161-4886-8faa-bdb9f349be1e	1
133:705|24c3f4e2-edb0-4075-ad74-60e9fd762ef8	2
120:646|4dc989d5-0ed8-4bf6-9a06-5e170f9034d2	1
144:689|917de2e6-a548-4975-bc3d-35ab32546220	1
136:653|8460da43-49e3-4dc9-933e-599454c00e09	1
171:782|3b2d7da7-7407-40bc-b6f3-ca565897b5d8	2
129:723|58058132-39d6-49ef-88ee-19e248e55385	2
135:756|cac62bc0-6fd7-48e5-a968-2d4e1fead42b	2
136:666|81e0ab91-f6d7-4b59-a051-4ec20fd3dd17	1
