readId	equalMatches
137:748|0f5df595-bb96-4cbe-b7d1-ee71f5a28500	2
122:739|ea7e0460-209a-4532-8f58-ca0dac805f6a	2
113:724|bbc175d4-8908-4fa3-ac24-3d1ef081917f	2
128:716|a796b5e6-7696-4bd9-8b2b-d2d4abb596e4	1
130:1195|1e7a7ff4-ac3e-4f79-96fc-126bf3ad05c9	1
153:771|681116f6-1aa8-4340-a7b7-31d0f11cd69f	2
131:721|dea3d24a-c260-4e43-9a1c-5015a8ed7d01	2
129:636|a145f1a1-6884-4f15-9907-657ead221ad8	1
126:705|9db29361-b401-4bfc-82d5-8df7d00e3a61	1
116:783|08642543-7363-4e22-99e9-666557567646	2
125:621|de7c85f8-ddbf-44dc-9474-a42ed250d0c3	1
125:1226|cf531f98-611e-4344-9478-39bb651a8bea	1
139:673|ccbe31a2-9744-43e8-a581-19b5de4d1e7e	1
137:821|dcef41d4-5130-45bc-8834-24aebf4a1ff4	2
108:654|ff83c586-c2be-44eb-8639-014076eb272e	1
135:1217|45813d6b-f92d-4d08-81e1-68ecbec8cbf6	1
147:661|d3aaa6d9-a4f6-4f3c-ba6f-0a49f1374657	1
131:965|fd645626-a562-48e3-8229-0d02dc0f48b9	2
133:768|bcdf5893-4cf3-4c37-9260-f4c2e5609d6d	2
141:772|d50edb44-403d-4100-bca1-94f3ce395fea	2
123:736|dc62a116-4a33-4c87-bcad-1d209e861518	2
134:1175|61bc948e-b587-4ff0-a7dd-73300df05074	2
134:811|3d8539c6-52e6-4c84-a3f2-10a1fea714ef	1945
134:799|54e1d5d3-d5a2-426c-9d52-8a1c6d1d1727	1945
129:813|510938ac-e99f-4203-a7c2-b559024334d6	1945
130:764|4acd986e-a6c9-4d29-be3b-4d8ea5dda845	1945
134:297|423b9cf9-0df8-4a37-b640-fc70aedfb085	3
124:277|c53a24bc-aab4-41a9-ad66-c3c3abd8a3b4	3
132:282|b1f9f378-044e-4e0c-ba02-22858a6ff726	3
107:276|a9ce39ab-3867-4ec0-a344-84fadd2f8f15	3
105:290|9e69e8a9-1ce7-4062-8adf-e1288fa0c42e	3
139:315|ba007624-a8d5-45f7-a32c-06dedc242c01	3
106:287|9a9b1be4-cd44-45ff-a906-3a164e665315	3
129:306|c001c80b-0911-4725-a3f2-8867a017c9ac	3
122:354|8fc32c79-c65e-4a38-a350-fa87c87262e2	2705
132:478|70d6f57c-1865-4f9c-8848-31fafb20e088	2705
131:480|0c6ff4e8-1445-4491-9d6f-c096fba66654	2705
129:769|9fe80b26-4da9-45dd-87cf-976fa6a2c663	5
129:757|dc86954e-678e-446a-be18-792d2f5397e4	5
127:737|93d3ded0-ecf4-4a8e-a3f6-6390c6130102	5
138:771|372a9668-be69-49cc-bde4-3e35cb73b43c	5
132:794|aa668a66-d434-481f-a853-60ce50e52a66	5
129:720|852d04ff-d44a-4bf1-8a4f-cd97f8345df1	5
136:899|078187ed-33ee-4d52-afe4-e3ad4e20c27c	5
134:785|90526fd6-78f1-4985-a553-3297533b4f5e	5
120:738|130d0ffa-2693-4f23-80dc-f76d088011bd	5
139:805|3bfd9bbf-c98a-4787-bb88-68adb5858ef1	5
136:750|5b19335d-23ef-4c9e-bf6e-383fa066cdea	5
138:804|879fb21e-940d-4152-b301-ecaaf1fe91ef	5
130:751|de83b4c3-b8ab-4d83-a732-eda73d58dbd7	5
138:748|c81e3e91-6a92-4028-afc3-1b844efbd27f	5
123:773|a764406d-b084-4fc2-bd46-3b4e7e5d1425	5
106:751|2bca7207-31c3-4fff-a1fd-70343e938228	5
124:721|57144455-a838-42b9-99fd-75a3179c1c3a	5
122:804|ccde64bf-3ec6-4daa-b761-9c357a3b249e	5
122:747|b5318283-69d7-4984-8270-4caac03376bb	5
130:751|b460209c-aebe-4424-b812-51bc6e1a6cf3	5
